strategy,seed,iteration,num_labeled_samples,query_time,test_mAP,test_mAP_oth,num_segments_oth,test_mAP_whp,num_segments_whp,test_mAP_rum,num_segments_rum,test_mAP_grn,num_segments_grn,test_mAP_gig,num_segments_gig,test_mAP_str,num_segments_str,test_mAP_fed,num_segments_fed,test_mAP_sql,num_segments_sql,test_mAP_snr,num_segments_snr,test_mAP_gwl,num_segments_gwl
badge-greedy-dpp,4,4,1500,15.159572,0.597935,0.321415,390,0.773990,270,0.638359,142,0.836838,289,0.474428,199,0.409337,109,0.801774,252,0.592067,288,0.869634,66,0.261512,70
badge-greedy-dpp,4,5,1800,15.215324,0.616466,0.331695,501,0.778579,300,0.647569,182,0.842792,359,0.502074,251,0.426797,139,0.805701,322,0.613117,372,0.885274,79,0.331057,88
badge-greedy-dpp,4,6,2100,13.971282,0.623541,0.344556,597,0.789491,341,0.642408,220,0.851441,424,0.501224,299,0.433655,160,0.809839,385,0.610427,436,0.884985,91,0.367387,114
badge-greedy-dpp,4,7,2400,14.027536,0.632611,0.358915,694,0.796073,390,0.662691,247,0.857284,478,0.511312,344,0.444866,182,0.815532,442,0.612446,506,0.888962,103,0.378033,130
badge-greedy-dpp,4,8,2700,15.112209,0.637925,0.354054,781,0.803149,427,0.671046,275,0.864584,542,0.516317,385,0.427479,207,0.812944,513,0.620624,564,0.904794,115,0.404256,143
badge-greedy-dpp,4,9,3000,14.272777,0.651820,0.369235,868,0.809139,468,0.682962,297,0.864991,594,0.516283,418,0.453663,225,0.819971,586,0.630471,609,0.923862,123,0.447627,150
badge-greedy-dpp,5,0,300,0.000298,0.200096,0.044446,8,0.465349,6,0.074658,2,0.533561,14,0.030264,2,0.009729,2,0.700554,26,0.127393,3,0.010511,1,0.004491,0
badge-greedy-dpp,5,1,600,15.254032,0.436687,0.240565,96,0.692708,65,0.525609,25,0.743512,93,0.291783,37,0.078149,24,0.765266,107,0.502956,81,0.508992,4,0.017332,15
badge-greedy-dpp,5,2,900,15.101501,0.551537,0.294547,204,0.735922,116,0.591114,59,0.815242,172,0.428258,97,0.359692,58,0.780080,183,0.550828,154,0.828770,42,0.130916,29
badge-greedy-dpp,5,3,1200,17.999275,0.584845,0.314739,315,0.751234,163,0.618741,99,0.827874,246,0.473299,154,0.382822,87,0.786686,251,0.584488,235,0.848682,57,0.259885,57
badge-greedy-dpp,5,4,1500,15.168325,0.600019,0.312233,414,0.774363,223,0.626875,126,0.839886,311,0.477599,206,0.408428,111,0.793572,317,0.608914,317,0.855742,67,0.302575,84
badge-greedy-dpp,5,5,1800,13.354791,0.620619,0.338117,526,0.789727,273,0.651788,167,0.849054,365,0.502035,257,0.410892,140,0.809784,389,0.606803,383,0.880146,81,0.367849,100
badge-greedy-dpp,5,6,2100,14.338981,0.627097,0.331336,623,0.785523,317,0.666380,197,0.852315,428,0.510924,303,0.411408,164,0.812676,455,0.620485,455,0.887081,92,0.392841,115
badge-greedy-dpp,5,7,2400,15.085683,0.628632,0.344584,720,0.800204,353,0.654899,226,0.854777,493,0.521072,341,0.431786,191,0.807534,517,0.622660,516,0.899510,101,0.349293,133
badge-greedy-dpp,5,8,2700,13.837904,0.643797,0.354650,807,0.811818,395,0.670886,252,0.862374,552,0.528632,375,0.437479,212,0.819901,581,0.627055,575,0.916730,112,0.408446,144
badge-greedy-dpp,5,9,3000,14.972606,0.639168,0.351862,899,0.807688,439,0.668718,277,0.863335,610,0.526490,417,0.424208,232,0.821754,649,0.638826,624,0.903588,122,0.385212,155
badge-greedy-dpp,6,0,300,0.0003,0.186521,0.050806,11,0.271750,5,0.028043,2,0.445052,12,0.023290,7,0.003783,3,0.593872,18,0.123545,6,0.322138,2,0.002935,0
badge-greedy-dpp,6,1,600,15.002214,0.457714,0.201045,71,0.668872,95,0.443483,19,0.795166,73,0.323846,37,0.168934,19,0.649792,67,0.496187,50,0.782597,12,0.047217,9
badge-greedy-dpp,6,2,900,14.55226,0.537956,0.279154,180,0.708171,165,0.594987,56,0.823193,145,0.424238,93,0.294747,55,0.725301,136,0.537846,137,0.859522,34,0.132398,34
badge-greedy-dpp,6,3,1200,15.225387,0.574453,0.316922,288,0.753573,224,0.616129,101,0.828019,226,0.455585,160,0.358895,85,0.748055,198,0.560654,219,0.873013,48,0.233688,50
badge-greedy-dpp,6,4,1500,15.057048,0.599686,0.322893,391,0.766966,270,0.646513,138,0.839897,291,0.476085,211,0.405299,110,0.773723,273,0.591974,296,0.886152,61,0.287357,73
badge-greedy-dpp,6,5,1800,14.586913,0.608260,0.311280,489,0.783684,317,0.655611,164,0.847411,352,0.471030,256,0.410679,131,0.779453,344,0.607939,369,0.886403,77,0.329107,93
badge-greedy-dpp,6,6,2100,16.530494,0.622868,0.340068,582,0.793793,366,0.655285,193,0.852951,420,0.491844,307,0.437102,151,0.786468,398,0.622392,433,0.899384,87,0.349395,107
badge-greedy-dpp,6,7,2400,15.058724,0.631043,0.346105,671,0.802300,400,0.664534,220,0.852124,475,0.497400,337,0.461702,176,0.788789,449,0.628275,482,0.906656,106,0.362548,117
badge-greedy-dpp,6,8,2700,14.168222,0.645676,0.364434,759,0.809035,438,0.668572,246,0.858166,534,0.521506,375,0.452047,199,0.798687,510,0.645153,534,0.914515,119,0.424646,131
badge-greedy-dpp,6,9,3000,15.130356,0.639968,0.350801,846,0.808302,471,0.672375,268,0.864194,588,0.517770,407,0.456953,213,0.807965,582,0.629254,592,0.928323,131,0.363743,145
badge-greedy-dpp,7,0,300,0.000296,0.162548,0.040852,12,0.286056,7,0.027434,6,0.443353,14,0.019794,3,0.003054,3,0.665626,24,0.108241,2,0.029398,2,0.001676,0
badge-greedy-dpp,7,1,600,16.283731,0.444442,0.240657,61,0.673833,81,0.507809,25,0.791396,82,0.181483,26,0.159280,16,0.748800,89,0.493168,40,0.629704,6,0.018294,5
badge-greedy-dpp,7,2,900,14.542901,0.539307,0.279493,174,0.726367,138,0.583596,56,0.809342,150,0.392001,84,0.314831,51,0.778136,173,0.530935,120,0.823568,33,0.154799,28
badge-greedy-dpp,7,3,1200,14.338846,0.580370,0.300778,287,0.755753,197,0.615457,93,0.822957,215,0.454204,151,0.370693,82,0.793110,241,0.569193,209,0.846220,42,0.275331,47
badge-greedy-dpp,7,4,1500,16.844966,0.594415,0.302375,413,0.743959,237,0.629180,119,0.842167,273,0.457483,214,0.369936,112,0.802489,307,0.577078,292,0.864488,61,0.354996,76
badge-greedy-dpp,7,5,1800,15.299349,0.612663,0.329381,504,0.771564,278,0.638744,156,0.846038,352,0.494096,259,0.380894,138,0.802957,375,0.601007,367,0.891458,75,0.370493,90
badge-greedy-dpp,7,6,2100,15.848804,0.625737,0.341773,610,0.789778,328,0.657182,191,0.855296,418,0.506273,307,0.414029,162,0.809530,437,0.607901,443,0.894487,86,0.381119,117
badge-greedy-dpp,7,7,2400,15.167831,0.638100,0.337234,705,0.791066,362,0.665875,221,0.855564,486,0.524281,348,0.445504,187,0.818146,506,0.626090,501,0.914901,97,0.402334,135
badge-greedy-dpp,7,8,2700,15.145393,0.645730,0.358636,789,0.795892,399,0.669572,254,0.860343,548,0.522356,380,0.462150,211,0.819720,572,0.630351,556,0.924708,109,0.413571,148
badge-greedy-dpp,7,9,3000,15.209712,0.638027,0.355900,878,0.799963,428,0.670307,279,0.861121,596,0.521221,416,0.408923,227,0.821914,645,0.619839,606,0.925179,120,0.395903,161
badge-greedy-dpp,8,0,300,0.000295,0.247213,0.136972,17,0.553826,8,0.057887,4,0.683154,16,0.064890,3,0.052780,4,0.674266,27,0.225158,6,0.009128,1,0.014068,1
badge-greedy-dpp,8,1,600,15.148409,0.466643,0.250364,142,0.693400,81,0.541642,29,0.786329,93,0.369062,59,0.256343,36,0.729460,111,0.508917,104,0.434225,7,0.096690,27
badge-greedy-dpp,8,2,900,14.487804,0.555623,0.295031,248,0.739577,140,0.577740,63,0.821369,153,0.440564,125,0.361625,75,0.759288,176,0.572831,195,0.789252,28,0.198957,47
badge-greedy-dpp,8,3,1200,15.17562,0.587873,0.314313,361,0.748584,171,0.597938,102,0.837362,213,0.462477,192,0.394319,104,0.786042,258,0.573081,277,0.853666,41,0.310944,74
badge-greedy-dpp,8,4,1500,22.045263,0.608160,0.334046,442,0.769098,231,0.634531,144,0.844781,274,0.503401,231,0.401814,131,0.787448,316,0.608067,334,0.846632,53,0.351782,92
